,e6,y6,e5,y5,e4,y4,e3,y3,e2,y2,e1,y1
0,-0.125,1.333333333333333,-0.125,2.666666666666667,-0.125,3.333333333333333,-0.125,4.0,-0.125,4.066666666666666,-0.125,4.133333333333333
1,-0.12247474747474747,1.4933170084685234,-0.12247474747474747,2.7466585042342624,-0.12247474747474747,3.3733292521171307,-0.12247474747474747,4.0,-0.12247474747474747,4.062667074788287,-0.12247474747474747,4.125334149576574
2,-0.11994949494949494,1.6500357106417711,-0.11994949494949494,2.825017855320886,-0.11994949494949494,3.4125089276604426,-0.11994949494949494,4.0,-0.11994949494949494,4.058749107233956,-0.11994949494949494,4.117498214467911
3,-0.11742424242424243,1.8034894398530756,-0.11742424242424243,2.9017447199265383,-0.11742424242424243,3.4508723599632685,-0.11742424242424243,4.0,-0.11742424242424243,4.0549127640036735,-0.11742424242424243,4.109825528007346
4,-0.1148989898989899,1.9536781961024379,-0.1148989898989899,2.9768390980512196,-0.1148989898989899,3.4884195490256094,-0.1148989898989899,4.0,-0.1148989898989899,4.05115804509744,-0.1148989898989899,4.102316090194878
5,-0.11237373737373738,2.100601979389858,-0.11237373737373738,3.0503009896949296,-0.11237373737373738,3.5251504948474643,-0.11237373737373738,4.0,-0.11237373737373738,4.047484950515254,-0.11237373737373738,4.094969901030507
6,-0.10984848484848485,2.244260789715335,-0.10984848484848485,3.1221303948576677,-0.10984848484848485,3.5610651974288334,-0.10984848484848485,4.0,-0.10984848484848485,4.0438934802571165,-0.10984848484848485,4.087786960514233
7,-0.10732323232323232,2.3846546270788695,-0.10732323232323232,3.192327313539435,-0.10732323232323232,3.596163656769717,-0.10732323232323232,4.0,-0.10732323232323232,4.040383634323028,-0.10732323232323232,4.080767268646056
8,-0.10479797979797979,2.5217834914804613,-0.10479797979797979,3.2608917457402313,-0.10479797979797979,3.630445872870115,-0.10479797979797979,4.0,-0.10479797979797979,4.036955412712989,-0.10479797979797979,4.073910825425977
9,-0.10227272727272727,2.6556473829201104,-0.10227272727272727,3.327823691460056,-0.10227272727272727,3.6639118457300275,-0.10227272727272727,4.0,-0.10227272727272727,4.033608815426997,-0.10227272727272727,4.067217630853994
10,-0.09974747474747475,2.7862463013978163,-0.09974747474747475,3.3931231506989086,-0.09974747474747475,3.696561575349454,-0.09974747474747475,4.0,-0.09974747474747475,4.030343842465054,-0.09974747474747475,4.060687684930109
11,-0.09722222222222222,2.91358024691358,-0.09722222222222222,3.4567901234567904,-0.09722222222222222,3.7283950617283947,-0.09722222222222222,4.0,-0.09722222222222222,4.027160493827161,-0.09722222222222222,4.054320987654321
