e,PDF_a1,PDF_a2,PDF_a10
-0.20000000000000001,2.5,0.0,0.0
-0.19595959595959597,2.5,0.14998469543924073,2.3073301582296463e-12
-0.19191919191919193,2.5,0.29690847872666049,1.0771858274257708e-09
-0.1878787878787879,2.5,0.44077134986225874,3.7723106629919213e-08
-0.18383838383838386,2.5,0.58157330884603575,4.5722232836336945e-07
-0.17979797979797982,2.5,0.71931435567799151,3.097103955021776e-06
-0.17575757575757578,2.5,0.85399449035812647,1.4513857401060017e-05
-0.17171717171717171,2.5,0.98561371288644073,5.2728797550837439e-05
-0.1676767676767677,2.5,1.1141720232629315,0.00015894888113354477
-0.16363636363636364,2.5,1.2396694214876036,0.00041537488235583557
-0.15959595959595962,2.5,1.362105907560452,0.00096958328780135153
-0.15555555555555556,2.5,1.4814814814814818,0.002065157967280116
-0.15151515151515152,2.5,1.5977961432506889,0.004077364612694913
-0.14747474747474748,2.5,1.7110498928680751,0.0075518141480383624
-0.14343434343434344,2.5,1.8212427303336389,0.013243345639865541
-0.1393939393939394,2.5,1.9283746556473829,0.022151848239632906
-0.13535353535353536,2.5,2.0324456688093049,0.035551484227428036
-0.13131313131313133,2.5,2.1334557698194057,0.055009794838776979
-0.12727272727272729,2.5,2.2314049586776861,0.082393466900794743
-0.12323232323232325,2.5,2.3262932353841439,0.11985809004648774
-0.11919191919191921,2.5,2.4181205999387809,0.16982000290190508
-0.11515151515151516,2.5,2.5068870523415967,0.23490926076797841
-0.11111111111111112,2.5,2.5925925925925917,0.3179037971669777
-0.10707070707070708,2.5,2.6752372206917654,0.42164593336934153
-0.10303030303030304,2.5,2.7548209366391179,0.54894344982922838
-0.098989898989899003,2.5,2.8313437404346495,0.70245841106295681
-0.094949494949494964,2.5,2.9048056320783582,0.88458777718131909
-0.090909090909090925,2.5,2.9752066115702474,1.0973404962272972
-0.086868686868686873,2.5,3.0425466789103148,1.3422162174908858
-0.082828282828282834,2.5,3.1068258340985615,1.6200909745717407
-0.078787878787878796,2.5,3.168044077134986,1.9311151477589787
-0.074747474747474757,2.5,3.2262014080195898,2.2746287299060595
-0.070707070707070718,2.5,3.2812978267523718,2.6490984013548138
-0.06666666666666668,2.5,3.333333333333333,3.0520801908336819
-0.062626262626262641,2.5,3.3823079277624726,3.4802105926832372
-0.058585858585858602,2.5,3.4282216100397909,3.9292279654390136
-0.054545454545454564,2.5,3.4710743801652888,4.394024897153213
-0.050505050505050525,2.5,3.5108662381389646,4.8687310365235259
-0.046464646464646486,2.5,3.5475971839608191,5.3468247047870481
-0.042424242424242448,2.5,3.5812672176308533,5.8212704695265112
-0.038383838383838409,2.5,3.6118763391490663,6.2846788234808644
-0.034343434343434343,2.5,3.6394245485154575,6.729483210275121
-0.030303030303030304,2.5,3.663911845730027,7.1481289099969425
-0.026262626262626265,2.5,3.6853382307927767,7.5332677690325989
-0.022222222222222227,2.5,3.7037037037037033,7.8779524508671237
-0.018181818181818188,2.5,3.7190082644628095,8.1758238094098843
-0.014141414141414149,2.5,3.731251913070095,8.4212851467186258
-0.010101010101010111,2.5,3.7404346495255578,8.6096575067965304
-0.0060606060606060719,2.5,3.7465564738292012,8.7373107619375663
-0.0020202020202020332,2.5,3.749617385981022,8.8017660454928457
0.0020202020202020055,2.5,3.749617385981022,8.8017660454928457
0.0060606060606060441,2.5,3.7465564738292012,8.7373107619375663
0.010101010101010083,2.5,3.7404346495255578,8.6096575067965304
0.014141414141414121,2.5,3.731251913070095,8.4212851467186258
0.01818181818181816,2.5,3.7190082644628095,8.1758238094098843
0.022222222222222199,2.5,3.7037037037037033,7.8779524508671237
0.026262626262626265,2.5,3.6853382307927767,7.5332677690325989
0.030303030303030304,2.5,3.663911845730027,7.1481289099969425
0.034343434343434343,2.5,3.6394245485154579,6.729483210275121
0.038383838383838381,2.5,3.6118763391490663,6.2846788234808644
0.04242424242424242,2.5,3.5812672176308533,5.8212704695265112
0.046464646464646459,2.5,3.5475971839608205,5.3468247047870481
0.050505050505050497,2.5,3.5108662381389655,4.8687310365235348
0.054545454545454508,2.5,3.4710743801652892,4.394024897153221
0.058585858585858575,2.5,3.4282216100397922,3.9292279654390208
0.062626262626262641,2.5,3.3823079277624726,3.4802105926832372
0.066666666666666652,2.5,3.3333333333333335,3.0520801908336868
0.070707070707070718,2.5,3.2812978267523718,2.6490984013548138
0.074747474747474729,2.5,3.2262014080195898,2.2746287299060635
0.078787878787878796,2.5,3.1680440771349851,1.9311151477589754
0.082828282828282807,2.5,3.1068258340985615,1.6200909745717407
0.086868686868686873,2.5,3.0425466789103153,1.3422162174908883
0.090909090909090884,2.5,2.9752066115702482,1.097340496227301
0.09494949494949495,2.5,2.9048056320783586,0.88458777718131909
0.098989898989898961,2.5,2.83134374043465,0.70245841106295925
0.10303030303030303,2.5,2.7548209366391183,0.54894344982922938
0.10707070707070704,2.5,2.6752372206917663,0.42164593336934231
0.1111111111111111,2.5,2.5925925925925917,0.3179037971669777
0.11515151515151512,2.5,2.5068870523415985,0.23490926076797924
0.11919191919191918,2.5,2.4181205999387823,0.16982000290190569
0.12323232323232319,2.5,2.3262932353841457,0.11985809004648816
0.12727272727272726,2.5,2.2314049586776861,0.082393466900795034
0.13131313131313133,2.5,2.1334557698194057,0.055009794838776979
0.13535353535353534,2.5,2.0324456688093053,0.035551484227428036
0.1393939393939394,2.5,1.9283746556473829,0.022151848239632989
0.14343434343434341,2.5,1.8212427303336398,0.013243345639865588
0.14747474747474748,2.5,1.7110498928680744,0.0075518141480383355
