eps,cost_discrete,cost_identity
0.012500000000000001,4.9573666468372021e-05,4.6449381510035235e-05
0.025000000000000001,0.00018896447467876037,0.00018357421874960024
0.037499999999999999,0.00040562466197944835,0.00040803955078117454
0.050000000000000003,0.00068870523415977963,0.00071651041666723799
0.0625,0.0010288065843621398,0.0011056518554702697
0.074999999999999997,0.0014177693761814744,0.00157212890625275
0.087499999999999994,0.0018484985664704993,0.0021126066080771576
0.099999999999999992,0.0023148148148148147,0.0027237500000059731
0.11249999999999999,0.0028113286130778837,0.003402224121087827
0.12499999999999999,0.0033333333333333327,0.0041446940104117019
0.13749999999999998,0.0038767140843265404,0.0049478247070274999
0.14999999999999999,0.0044378698224852063,0.005808281249997686
0.16250000000000001,0.005013646612080219,0.0067227286783847501
0.17499999999999999,0.0056012802926383165,0.0076878320312511687
0.1875,0.0061983471074380158,0.008700256347659422
0.19999999999999998,0.0068027210884353739,0.0097566666666719908
0.21249999999999999,0.0074125371909305416,0.010853728027351354
0.22500000000000001,0.0080261593341260408,0.011988105468759986
0.23749999999999999,0.0086421526381308036,0.013156464029937733
0.25,0.0092592592592592587,0.014355468749991851
