sig,cost_discrete,cost_identity
0.25980762113533162,0.0068027210884353756,0.0032233333333316111
0.27348170645824382,0.0068027210884353756,0.0034275161588052613
0.28715579178115602,0.0068027210884353756,0.0036421698984287604
0.30082987710406817,0.0068027210884353756,0.0038672945521896593
0.31450396242698037,0.0068027210884353756,0.004102890120043513
0.32817804774989257,0.0068027210884353756,0.0043489566020342273
0.34185213307280476,0.0068027210884353756,0.0046054939982058396
0.35552621839571696,0.0068027210884353756,0.0048725023083555745
0.36920030371862916,0.0068027210884353756,0.0051499815325622275
0.38287438904154136,0.0068027210884353756,0.0054379316711779509
0.39654847436445351,0.0068027210884353756,0.0057363527226218488
0.41022255968736576,0.0068027210884353756,0.0060452446881477792
0.42389664501027791,0.0068027210884353756,0.0063646075672090631
0.43757073033319011,0.0068027210884353756,0.0066944413574556196
0.4512448156561023,0.0068027210884353756,0.0070347460870802984
0.46491890097901445,0.0068027210884353756,0.007385521710934137
0.4785929863019267,0.0068027210884353756,0.0077467682406012969
0.49226707162483885,0.0068027210884353756,0.0081184856896730825
0.50594115694775099,0.0068027210884353756,0.0085006740543404485
0.51961524227066325,0.0068027210884353756,0.0088933333343158352
