eps,cost_discrete,cost_identity
0.0125,4.957366646837202e-05,5.13258985303215e-05
0.025,0.00018896447467876037,0.00020145898681605707
0.0375,0.00040562466197944835,0.00044293325161563876
0.05,0.0006887052341597796,0.0007662830133908417
0.0625,0.0010288065843621398,0.001160415333128358
0.075,0.0014177693761814744,0.0016130279784566388
0.0875,0.0018484985664704993,0.002111068868396773
0.09999999999999999,0.0023148148148148147,0.002641229972235409
0.11249999999999999,0.0028113286130778837,0.003190463841600185
0.12499999999999999,0.0033333333333333327,0.0037465048353429193
0.13749999999999998,0.0038767140843265404,0.004298370633441112
0.15,0.004437869822485206,0.004836814222152023
0.1625,0.005013646612080219,0.00535469379441382
0.175,0.0056012802926383165,0.005847229460461047
0.1875,0.006198347107438016,0.006312122243064685
0.19999999999999998,0.006802721088435374,0.006749522458182796
0.2125,0.007412537190930542,0.007161849905227011
0.225,0.00802615933412604,0.007553484809362393
0.2375,0.008642152638130804,0.007930363047186775
