e,PDF1,PDF2,PDF3
-0.1,4.983355544966501,4.995834722056845,4.999833335555552
-0.0997997997997998,4.983455212974209,4.995859701267874,4.999834335521318
-0.0995995995995996,4.9835546832338204,4.995884630544885,4.999835333483343
-0.0993993993993994,4.983653955733415,4.995909509887129,4.999836329441627
-0.0991991991991992,4.983753030461096,4.995934339293859,4.999837323396169
-0.098998998998999,4.983851907404989,4.995959118764329,4.999838315346967
-0.0987987987987988,4.9839505865532425,4.995983848297795,4.999839305294019
-0.09859859859859861,4.984049067894032,4.9960085278935145,4.999840293237326
-0.09839839839839841,4.984147351415555,4.996033157550745,4.999841279176887
-0.09819819819819821,4.984245437106031,4.996057737268749,4.999842263112698
-0.09799799799799801,4.984343324953703,4.996082267046785,4.99984324504476
-0.0977977977977978,4.9844410149468406,4.996106746884119,4.999844224973072
-0.0975975975975976,4.984538507073734,4.996131176780015,4.999845202897631
-0.0973973973973974,4.984635801322699,4.996155556733738,4.999846178818437
-0.0971971971971972,4.984732897682072,4.996179886744557,4.999847152735489
-0.096996996996997,4.984829796140217,4.996204166811741,4.999848124648786
-0.0967967967967968,4.984926496685519,4.996228396934561,4.999849094558326
-0.0965965965965966,4.985022999306386,4.996252577112289,4.999850062464108
-0.0963963963963964,4.985119303991252,4.996276707344198,4.99985102836613
-0.0961961961961962,4.985215410728572,4.996300787629563,4.999851992264394
-0.09599599599599601,4.9853113195068275,4.996324817967663,4.999852954158896
-0.09579579579579581,4.985407030314521,4.996348798357773,4.999853914049635
-0.0955955955955956,4.985502543140178,4.996372728799176,4.999854871936612
-0.0953953953953954,4.985597857972352,4.996396609291151,4.999855827819822
-0.0951951951951952,4.985692974799614,4.99642043983298,4.999856781699268
-0.094994994994995,4.9857878936105635,4.99644422042395,4.999857733574946
-0.0947947947947948,4.985882614393823,4.9964679510633445,4.999858683446856
-0.0945945945945946,4.985977137138035,4.996491631750452,4.999859631314997
-0.0943943943943944,4.9860714618318696,4.99651526248456,4.999860577179368
-0.0941941941941942,4.986165588464018,4.9965388432649585,4.999861521039967
-0.093993993993994,4.986259517023197,4.99656237409094,4.999862462896793
-0.0937937937937938,4.986353247498146,4.996585854961798,4.999863402749846
-0.0935935935935936,4.986446779877625,4.9966092858768265,4.999864340599124
-0.09339339339339339,4.986540114150424,4.996632666835322,4.999865276444625
-0.09319319319319319,4.986633250305352,4.996655997836583,4.999866210286349
-0.092992992992993,4.986726188331241,4.996679278879906,4.9998671421242955
-0.0927927927927928,4.986818928216953,4.996702509964595,4.999868071958461
-0.0925925925925926,4.986911469951364,4.996725691089949,4.9998689997888475
-0.0923923923923924,4.987003813523382,4.996748822255276,4.999869925615451
-0.0921921921921922,4.987095958921932,4.996771903459876,4.999870849438272
-0.091991991991992,4.987187906135969,4.9967949347030585,4.999871771257309
-0.0917917917917918,4.987279655154467,4.996817915984131,4.999872691072563
-0.0915915915915916,4.987371205966426,4.996840847302405,4.9998736088840285
-0.0913913913913914,4.987462558560867,4.996863728657189,4.999874524691707
-0.09119119119119119,4.987553712926838,4.9968865600477965,4.999875438495599
-0.09099099099099099,4.987644669053408,4.996909341473542,4.9998763502956995
-0.09079079079079079,4.987735426929672,4.996932072933743,4.99987726009201
-0.0905905905905906,4.987825986544745,4.996954754427713,4.999878167884528
-0.0903903903903904,4.987916347887771,4.996977385954773,4.999879073673256
-0.0901901901901902,4.988006510947913,4.996999967514243,4.999879977458187
-0.08998998998999,4.988096475714358,4.9970224991054435,4.999880879239326
-0.0897897897897898,4.988186242176321,4.997044980727698,4.999881779016667
-0.0895895895895896,4.988275810323034,4.997067412380333,4.999882676790211
-0.0893893893893894,4.988365180143758,4.9970897940626715,4.999883572559957
-0.0891891891891892,4.988454351627776,4.997112125774044,4.999884466325905
-0.08898898898898899,4.988543324764393,4.997134407513777,4.9998853580880525
-0.08878878878878879,4.988632099542941,4.997156639281205,4.999886247846398
-0.08858858858858859,4.988720675952773,4.997178821075657,4.999887135600941
-0.08838838838838839,4.988809053983267,4.997200952896467,4.99988802135168
-0.08818818818818819,4.988897233623821,4.997223034742971,4.999888905098616
-0.08798798798798799,4.988985214863866,4.997245066614505,4.999889786841745
-0.08778778778778779,4.989072997692844,4.997267048510407,4.999890666581067
-0.0875875875875876,4.989160582100231,4.997288980430018,4.999891544316582
-0.0873873873873874,4.989247968075523,4.997310862372678,4.9998924200482895
-0.0871871871871872,4.989335155608236,4.99733269433773,4.999893293776185
-0.086986986986987,4.989422144687917,4.997354476324518,4.999894165500271
-0.0867867867867868,4.989508935304131,4.997376208332388,4.999895035220544
-0.08658658658658659,4.989595527446469,4.997397890360685,4.999895902937004
-0.08638638638638639,4.989681921104546,4.997419522408761,4.99989676864965
-0.08618618618618619,4.989768116267996,4.997441104475964,4.999897632358483
-0.08598598598598599,4.989854112926485,4.997462636561647,4.999898494063497
-0.08578578578578579,4.989939911069698,4.997484118665161,4.999899353764696
-0.08558558558558559,4.9900255106873415,4.997505550785863,4.999900211462075
-0.08538538538538538,4.9901109117691504,4.997526932923108,4.999901067155635
-0.0851851851851852,4.9901961143048785,4.997548265076254,4.999901920845375
-0.084984984984985,4.990281118284308,4.99756954724466,4.999902772531295
-0.0847847847847848,4.990365923697243,4.997590779427686,4.999903622213393
-0.0845845845845846,4.99045053053351,4.9976119616246955,4.999904469891665
-0.08438438438438439,4.990534938782959,4.99763309383505,4.999905315566115
-0.08418418418418419,4.990619148435467,4.997654176058118,4.999906159236738
-0.08398398398398399,4.9907031594809315,4.997675208293264,4.999907000903535
-0.08378378378378379,4.990786971909276,4.9976961905398545,4.999907840566506
-0.08358358358358359,4.990870585710443,4.997717122797262,4.999908678225647
-0.08338338338338339,4.990954000874406,4.997738005064857,4.999909513880959
-0.08318318318318318,4.991037217391157,4.99775883734201,4.999910347532441
-0.08298298298298298,4.991120235250713,4.997779619628099,4.999911179180091
-0.08278278278278278,4.991203054443115,4.997800351922497,4.99991200882391
-0.08258258258258258,4.991285674958429,4.997821034224581,4.999912836463895
-0.08238238238238238,4.991368096786741,4.99784166653373,4.999913662100044
-0.08218218218218218,4.9914503199181635,4.997862248849326,4.99991448573236
-0.08198198198198199,4.991532344342834,4.9978827811707465,4.999915307360838
-0.08178178178178179,4.9916141700509105,4.9979032634973795,4.999916126985478
-0.08158158158158159,4.991695797032576,4.997923695828606,4.999916944606281
-0.08138138138138139,4.991777225278039,4.997944078163815,4.999917760223244
-0.08118118118118119,4.991858454777528,4.997964410502392,4.999918573836368
-0.08098098098098098,4.991939485521299,4.997984692843726,4.999919385445649
-0.08078078078078078,4.992020317499631,4.9980049251872085,4.999920195051088
-0.08058058058058058,4.992100950702825,4.998025107532233,4.999921002652684
-0.08038038038038038,4.992181385121205,4.9980452398781905,4.999921808250436
-0.08018018018018018,4.992261620745123,4.998065322224478,4.999922611844343
-0.07997997997997999,4.99234165756495,4.998085354570491,4.999923413434403
-0.07977977977977979,4.992421495571085,4.9981053369156285,4.999924213020617
-0.07957957957957959,4.9925011347539465,4.9981252692592895,4.999925010602982
-0.07937937937937939,4.992580575103982,4.998145151600876,4.999925806181499
-0.07917917917917919,4.992659816611655,4.998164983939789,4.999926599756165
-0.07897897897897899,4.992738859267463,4.998184766275435,4.999927391326981
-0.07877877877877879,4.992817703061918,4.998204498607218,4.999928180893944
-0.07857857857857858,4.992896347985559,4.998224180934546,4.999928968457054
-0.07837837837837838,4.992974794028951,4.998243813256827,4.999929754016311
-0.07817817817817818,4.993053041182682,4.9982633955734705,4.999930537571713
-0.07797797797797798,4.99313108943736,4.99828292788389,4.9999313191232595
-0.07777777777777778,4.993208938783622,4.998302410187497,4.99993209867095
-0.07757757757757758,4.993286589212124,4.9983218424837075,4.999932876214781
-0.07737737737737738,4.993364040713549,4.998341224771937,4.9999336517547555
-0.07717717717717718,4.993441293278604,4.998360557051603,4.999934425290869
-0.07697697697697697,4.993518346898017,4.998379839322125,4.999935196823124
-0.07677677677677677,4.993595201562542,4.998399071582923,4.999935966351516
-0.07657657657657659,4.993671857262956,4.99841825383342,4.999936733876046
-0.07637637637637638,4.99374831399006,4.998437386073039,4.999937499396713
-0.07617617617617618,4.993824571734679,4.998456468301206,4.999938262913517
-0.07597597597597598,4.993900630487662,4.998475500517347,4.999939024426454
-0.07577577577577578,4.993976490239881,4.998494482720889,4.999939783935527
-0.07557557557557558,4.99405215098223,4.998513414911264,4.999940541440733
-0.07537537537537538,4.994127612705633,4.998532297087903,4.99994129694207
-0.07517517517517518,4.9942028754010295,4.998551129250237,4.9999420504395395
-0.07497497497497498,4.99427793905939,4.998569911397701,4.99994280193314
-0.07477477477477477,4.9943528036717035,4.99858864352973,4.999943551422868
