eps,cost_discrete,cost_identity
0.012500000000000001,4.9573666468372021e-05,1.8587239583324839e-06
0.025000000000000001,0.00018896447467876037,8.6197916666681575e-06
0.037499999999999999,0.00040562466197944835,2.2060546875001785e-05
0.050000000000000003,0.00068870523415977963,4.3958333333331852e-05
0.0625,0.0010288065843621398,7.6090494791668654e-05
0.074999999999999997,0.0014177693761814744,0.0001202343750000015
0.087499999999999994,0.0018484985664704993,0.00017816731770833557
0.099999999999999992,0.0023148148148148147,0.00025166666666666772
0.11249999999999999,0.0028113286130778837,0.00034250976562500075
0.12499999999999999,0.0033333333333333327,0.00045247395833333717
0.13749999999999998,0.0038767140843265404,0.00058333658854166695
0.14999999999999999,0.0044378698224852063,0.00073687500000000944
0.16250000000000001,0.005013646612080219,0.00091486653645834288
0.17499999999999999,0.0056012802926383165,0.0011190885416666808
0.1875,0.0061983471074380158,0.001351318359375007
0.19999999999999998,0.0068027210884353739,0.001613333333333344
0.21249999999999999,0.0074125371909305416,0.0019069108072916729
0.22500000000000001,0.0080261593341260408,0.0022338281250000131
0.23749999999999999,0.0086421526381308036,0.002595862630208349
0.25,0.0092592592592592587,0.0029947916666666951
