sig,cost_discrete,cost_identity
0.057735026918962588,0.0023148148148148151,0.00019500000000012042
0.085083197564786966,0.0023148148148148151,0.00022819944598337453
0.11243136821061135,0.0023148148148148151,0.00027411357340719925
0.13977953885643574,0.0023148148148148151,0.00033274238227146759
0.16712770950226011,0.0023148148148148151,0.00040408587257617813
0.19447588014808451,0.0023148148148148151,0.00048814404432133006
0.22182405079390888,0.0023148148148148151,0.00058491689750692565
0.24917222143973328,0.0023148148148148151,0.00069440443213325282
0.27652039208555762,0.0023148148148148151,0.00081660664819898331
0.30386856273138202,0.0023148148148148151,0.00095152354569601931
0.33121673337720642,0.0023148148148148151,0.001099155124605164
0.35856490402303082,0.0023148148148148151,0.0012595013850673843
0.38591307466885516,0.0023148148148148151,0.0014325623268988774
0.41326124531467956,0.0023148148148148151,0.001618337949212568
0.44060941596050396,0.0023148148148148151,0.0018168282513524006
0.4679575866063283,0.0023148148148148151,0.0020280332459078781
0.4953057572521527,0.0023148148148148151,0.0022519529099426913
0.52265392789797704,0.0023148148148148151,0.0024885872584073099
0.55000209854380144,0.0023148148148148151,0.0027379362884565918
0.57735026918962584,0.0023148148148148151,0.0030000000000000018
