e,PDF1,PDF2,PDF3
-0.10000000000000001,5.0,0.0,0.0
-0.099799799799799804,5.0,0.02999996993991003,4.6188583468020622e-21
-0.099599599599599603,5.0,0.059939819699579809,2.3436143984127913e-18
-0.099399399399399402,5.0,0.089819549279009189,8.9286358331148097e-17
-0.099199199199199201,5.0,0.11963915867819826,1.1784398506825693e-15
-0.098998998998998999,5.0,0.14939864789714713,8.7009619674866439e-15
-0.098798798798798798,5.0,0.1790980169358557,4.4490190121682046e-14
-0.098598598598598611,5.0,0.20873726579432186,1.7654164998178331e-13
-0.09839839839839841,5.0,0.23831639447254971,5.8187881406605067e-13
-0.098198198198198208,5.0,0.26783540297053737,1.6644053690006591e-12
-0.097997997997998007,5.0,0.29729429128828466,4.2572229637873523e-12
-0.097797797797797806,5.0,0.32669305942579174,9.9473280223664571e-12
-0.097597597597597605,5.0,0.35603170738305839,2.1569762349897775e-11
-0.097397397397397403,5.0,0.38531023516008511,4.3928075482698788e-11
-0.097197197197197202,5.0,0.41452864275687074,8.4808262806878131e-11
-0.096996996996997001,5.0,0.44368693017341715,1.5636407826451649e-10
-0.0967967967967968,5.0,0.47278509740972258,2.7696269477294477e-10
-0.096596596596596598,5.0,0.50182314446578802,4.7359101487574691e-10
-0.096396396396396397,5.0,0.53080107134161247,7.8493443882872913e-10
-0.096196196196196196,5.0,0.55971887803719711,1.2652515019925613e-09
-0.095995995995996009,5.0,0.58857656455253937,1.9891794270941158e-09
-0.095795795795795807,5.0,0.61737413088764359,3.0576172328759741e-09
-0.095595595595595606,5.0,0.64611157704250721,4.6048445361927664e-09
-0.095395395395395405,5.0,0.67478890301713068,6.8070455209944641e-09
-0.095195195195195204,5.0,0.70340610881151377,9.8924186699151082e-09
-0.094994994994995002,5.0,0.73196319442565672,1.4153063711118576e-08
-0.094794794794794801,5.0,0.76046015985955895,1.9958847776932416e-08
-0.0945945945945946,5.0,0.78889700511322136,2.7773462957374856e-08
-0.094394394394394399,5.0,0.81727373018664318,3.8172897219999368e-08
-0.094194194194194197,5.0,0.84559033507982495,5.1866550019807891e-08
-0.093993993993993996,5.0,0.87384681979276602,6.9721232804651165e-08
-0.093793793793793795,5.0,0.90204318432546704,9.2788303000877312e-08
-0.093593593593593594,5.0,0.9301794286779278,1.2233418791219088e-07
-0.093393393393393392,5.0,0.9582555528501483,1.5987456225566966e-07
-0.093193193193193191,5.0,0.98627155684212819,2.0721244976930262e-07
-0.092992992992993004,5.0,1.0142274406538665,2.6648052543440502e-07
-0.092792792792792803,5.0,1.0421232042853656,3.4018790034540445e-07
